,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
96,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/statusbar/phone/fragment/CollapsedStatusBarFragment.java,[],12,3,"[(236, 237, 2), (479, 481, 3), (488, 494, 7)]"
97,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSTileImpl.java,[],21,3,"[(297, 299, 3), (304, 307, 4), (312, 325, 14)]"
98,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/tests/src/com/android/systemui/media/dialog/MediaOutputAdapterTest.java,[],0,2,"[(0, 0, 0), (0, 0, 0)]"
99,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/tests/src/com/android/systemui/qs/QSTileHostTest.java,[],8,9,"[(0, 0, 0), (0, 0, 0), (0, 0, 0), (134, 135, 2), (0, 0, 0), (153, 153, 1), (0, 0, 0), (0, 0, 0), (496, 500, 5)]"
100,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/tests/src/com/android/systemui/qs/QSFragmentTest.java,[],0,1,"[(0, 0, 0)]"
101,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,core/tests/coretests/src/com/android/internal/widget/LocalImageResolverTest.java,[],0,1,"[(0, 0, 0)]"
102,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/qs/QSTileHost.java,[],1,3,"[(0, 0, 0), (0, 0, 0), (14, 14, 1)]"
103,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,telephony/java/android/telephony/AccessNetworkConstants.java,[],1,1,"[(117, 117, 1)]"
104,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java,[],1,1,"[(374, 374, 1)]"
105,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarTransitions.java,[],1,1,"[(34, 34, 1)]"
106,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,services/core/java/com/android/server/connectivity/Vpn.java,[],104,1,"[(2964, 3067, 104)]"
107,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SettingsProvider/src/android/provider/settings/backup/SecureSettings.java,[],1,1,"[(208, 208, 1)]"
108,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/tests/src/com/android/keyguard/KeyguardSecurityContainerControllerTest.java,[],1,3,"[(74, 74, 1), (0, 0, 0), (0, 0, 0)]"
109,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,core/java/com/android/internal/widget/LocalImageResolver.java,[],7,1,"[(112, 118, 7)]"
110,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSFactoryImpl.java,[],41,4,"[(108, 115, 8), (153, 160, 8), (193, 200, 8), (274, 290, 17)]"
111,8a3fc87179eb4857cbde71ef0a7acc1d9189e2e6,packages/SettingsProvider/src/android/provider/settings/validators/SecureSettingsValidators.java,[],1,1,"[(340, 340, 1)]"
112,72ae328c0ea598eaf6e115a44520b2e7f3cc9eba,packages/SystemUI/src/com/android/systemui/statusbar/phone/fragment/CollapsedStatusBarFragment.java,[],1,1,"[(489, 489, 1)]"
113,72ae328c0ea598eaf6e115a44520b2e7f3cc9eba,packages/SystemUI/src/com/android/systemui/qs/QSTileHost.java,[],0,2,"[(0, 0, 0), (0, 0, 0)]"
114,72ae328c0ea598eaf6e115a44520b2e7f3cc9eba,packages/SystemUI/tests/src/com/android/systemui/qs/QSTileHostTest.java,[],0,1,"[(0, 0, 0)]"
